push_arequipan_border_title;Push Arequipan Border;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_tatar_lands_chg_title;Expand Tatar Lands Chg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_tatar_lands_chg_desc;This decision allows us to pursue expand tatar lands chg and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vassal_interactions_title;Vassal Interactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vassal_interactions_desc;This decision allows us to pursue vassal interactions and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_venetian_empire_title;Declare Venetian Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declare_venetian_empire_desc;Our power and prestige now justify a greater proclamation before our people and our rivals.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constantinople_capital_title;Constantinople Capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
constantinople_capital_desc;We can designate a new capital that better reflects our history, power, and national ambitions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_stato_de_mar_title;Expand Stato de Mar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
expand_stato_de_mar_desc;This decision allows us to pursue expand stato de mar and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secure_northern_frontier_title;Secure Northern Frontier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
secure_northern_frontier_desc;We must secure our position and ensure that this matter is settled in our favor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consolidate_tungning_control_title;Consolidate Tungning Control;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consolidate_tungning_control_desc;Through administration, loyalty, and reform, we can fully integrate these lands and peoples into our state.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfer_imperial_treasury_title;Transfer Imperial Treasury;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfer_imperial_treasury_desc;This decision allows us to pursue transfer imperial treasury and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renew_the_phoenix_invasion_title;Renew the Phoenix Invasion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
renew_the_phoenix_invasion_desc;Old claims and historic rights still remain. We can act now to restore renew the phoenix invasion and strengthen our position.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
legacy_of_the_phoenix_emperor_title;Legacy of the Phoenix Emperor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
legacy_of_the_phoenix_emperor_desc;This decision allows us to pursue legacy of the phoenix emperor and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_protectorship_tungning_title;Claim Protectorship Tungning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_protectorship_tungning_desc;Our historic claims cannot be ignored. We can press them and bring these lands back into our sphere.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandate_of_tingzhou_title;Mandate of Tingzhou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandate_of_tingzhou_desc;This decision allows us to pursue mandate of tingzhou and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shogunate_japan_collapse_title;Shogunate Japan Collapse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shogunate_japan_collapse_desc;This decision allows us to pursue shogunate japan collapse and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
push_tungning_out_title;Push Tungning Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
push_tungning_out_desc;This decision allows us to pursue push tungning out and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
curtail_chinese_autonomy_title;Curtail Chinese Autonomy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
curtail_chinese_autonomy_desc;Enemies of the state threaten our stability. Decisive action will restore order and authority.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integration_of_the_min_title;Integration of the Min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integration_of_the_min_desc;This decision allows us to pursue integration of the min and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sphere_puppets_title;Sphere Puppets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sphere_puppets_desc;This decision allows us to pursue sphere puppets and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836_states_title;States;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836_states_desc;This decision allows us to pursue states and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836_capital_supply_title;Capital Supply;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836_capital_supply_desc;We can designate a new capital that better reflects our history, power, and national ambitions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
literacy_setup_1836_title;Literacy Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
literacy_setup_1836_desc;This decision allows us to pursue literacy setup and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zhourao_war_setup_title;Zhourao War Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zhourao_war_setup_desc;This decision allows us to pursue zhourao war setup and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleanup_setup_title;Cleanup Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleanup_setup_desc;This decision allows us to pursue cleanup setup and advance the interests of our nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46435;Peace of San Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46435;A fragile peace has been established in San Salvador, but tensions between Spain and the Colombian territories remain unresolved. The coming years will determine whether this agreement holds or collapses into renewed conflict.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46436;Spain Rejects the End of the Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46436;Spain has refused to relinquish its authority over Gran Colombia. This decision has inflamed revolutionary sentiment and forced the Colombians to decide how they will pursue their independence.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46437;Spain Violates the Peace of San Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46437;Despite the agreement reached in San Salvador, Spain has acted against its terms. The violation has shattered trust and reignited the flames of independence across the Colombian territories.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46438;Second War of Colombian Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46438;With tensions reaching their breaking point, Spain and Gran Colombia once again find themselves at war. The fate of the colonies will be decided on the battlefield.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46439;Treaty of Andagoya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46439;Following a decisive Colombian victory, negotiations at Andagoya have reshaped the political landscape. The dream of a united Colombia may finally be within reach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46440;Colombia Demands Integration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46440;Gran Colombia seeks to unify the former Spanish territories under a single banner. Local rulers must now decide whether to accept integration or resist.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46441;Colombia Demands Integration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46441;With Spanish authority fading, Gran Colombia offers integration as a path to stability and strength. The choice lies between unity and independence.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46442;Evacuation of the Spanish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46442;Spanish forces have withdrawn from much of the region, leaving behind a fractured political landscape. While independence is closer than ever, the struggle for unity continues.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46443;Collapse of Spanish Authority;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46443;Spain's grip over its colonies has weakened beyond repair. Former vassals must now choose between aligning with Colombia or forging their own independent path.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46444;Collapse of Authority in the Colonies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46444;The Spanish colonial system is unraveling. One by one, territories slip from Madrid’s control as the empire struggles to maintain its overseas dominion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46445;Gran Colombia Demands an End to the Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46445;Gran Colombia has formally demanded the end of Spanish oversight. Spain must now decide whether to maintain control or allow the Colombians to determine their own future.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46446;End of the Spanish Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46446;Spain has agreed to end its protectorship over Gran Colombia. A new chapter begins as the Colombians take full control of their destiny.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46447;Expiration of the Spanish Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46447;The period of Spanish oversight has come to an end. Gran Colombia now seeks to define its future without foreign interference.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46448;Reorganization of Colonial Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46448;Spain seeks to reassert control by restructuring its colonial administration, creating new vassal states and consolidating influence across the region.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46449;Collapse of Gran Colombia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46449;Internal divisions and external pressures have torn Gran Colombia apart. The dream of a unified state has collapsed into regional fragmentation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46450;Spanish Military Expeditions Defeated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46450;Spanish efforts to regain control have failed. Colombian forces have secured a decisive victory, forcing Spain to reconsider its position in the region.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46451;Occupation of Loyalist States;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46451;Colombian forces have begun occupying territories that remain loyal to Spain. The balance of power continues to shift as more regions fall under Colombian control.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46452;Advance of Spanish Loyalists;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46452;Spanish loyalists have launched a counteroffensive, reclaiming territory and restoring their influence in key regions. The conflict remains far from decided.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46453;Loyalist State Restored;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46453;Spanish authority has been reestablished in a loyalist region. The empire attempts to rebuild its influence through restored allies.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46454;Restoration of Spanish Authority;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46454;Spain has successfully reasserted control over a former territory, bringing it back into its sphere as a loyal vassal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46455;Gran Colombia Violates the Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46455;Gran Colombia has acted against the terms of Spanish oversight, escalating tensions and forcing Spain to respond.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME46456;Spain Rejects the End of the Protectorship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC46456;Spain has once again refused to relinquish control, prolonging the conflict and deepening divisions in the region.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
